lemma_ascii,definition
a)gge/llw,announce
a)/ggos,container
a)/ge,come!
*)admi/n,Admin
a)qroi/zw,"gather, collect"
a)kai/rios,untimely
a)kribh/s,"exact, accurate, precise"
a)llaxou=,elsewhere
a)mfiba/llw,"throw, cast"
a)/mwmon,a)/mwmos
a)na/gaion,upper room
a)nagkasto/s,necessary
a)naphda/w,leap up
a)peri/spastos,without distraction
a)pole/gw,renounce
a)po/tomos,"sharp, severe"
a)proswpo/lhmptos,impartial
*)/areios,Ares
*)arni/,Arni
*)asa/f,Asaph
a)/smenos,glad
a)/swtos,"reckless, immoral"
au)/cw,grow
au)xe/w,boast
a)fqori/a,integrity
a)/fobos,fearless
a)fustere/w,withhold
belo/nh,needle
gene/sios,birthday
ge/nhma,produce
de/os,fear
deino/s,"fearful, dreadful"
diakaqai/rw,"purge, prune"
diaparatribh/,constant wrangling
diaxleua/zw,deceive
dienqume/omai,"consider, reflect"
dokimasi/a,"examination, scrutiny, test"
du/sis,setting of the sun
dusfhme/w,speak ill of
e)ggu/teros,nearer
e)gkake/w,become discouraged
e)gkauxa/omai,boast
e)/qw,be accustomed to
e)kbai/nw,"leave, go out"
e)kzh/thsis,senseless speculation
e)kqauma/zw,"be amazed, wonder"
e)kperissw=s,exceedingly
e)kphda/w,leap up
e)legmo/s,refutation
e)mpi/mprhmi,set on fire
e)/nqen,from here
e)norki/zw,make to swear an oath
e)pana/gkhs,necessary
e)pa/ratos,accursed
e)/peimi,come after
e)peise/rxomai,come upon suddenly
e)pike/llw,run ashore
e)pilei/xw,lick
e)pimelh/s,careful
e)piskeua/zomai,get ready
e)pispei/rw,sow again
e)pi/stasis,"pressure, burden, attack"
eu)/kopos,easy
eu)pa/redros,devoted
eu)/tonos,"vehement, powerful"
e)fora/w,observe
e)xqe/s,yesterday
h(du/s,"pleasant, sweet"
qoruba/zw,be troubled
i(ero/qutos,offered as a sacrifice
i(nati/,why?
*)iouni/a,Junia
i(ppiko/n,cavalry
*)iwda/,Joda
*)iwsh/x,Josech
katabaru/nw,"weigh down, overload"
katadi/kh,judgment
kateuloge/w,"praise, bless"
katoiki/zw,"settle, establish"
kausthria/zw,brand
khmo/w,muzzle
ki/xrhmi,lend
komyo/s,in good health
krufai=os,"hidden, secret"
laka/w,burst
*magada/n,Magadan
makro/qumos,patient
ma/la,very
*menna/,Menna
menou=n,me/n
metatre/pw,change
me/trios,moderate
mu/linos,made of millstone
no/mimos,lawful
nosso/s,young bird
nounexh/s,"wise, discrete"
oi)ketei/a,household of slaves
oi)kodo/mos,"builder, architect"
oi)kti/rw,have pity
o)ligopisti/a,little faith
o(mi/xlh,"mist, fog"
o)rqrino/s,early in the morning
*pa/gos,Areopagus
pantaxh=|,"everywhere, in every way"
paraboleu/omai,venture
paraplh/sios,similar
paredreu/w,"serve, wait on"
paremba/llw,"put beside, encamp"
perai/teros,beyond
peria/ptw,light a fire all around
pi/mplhmi,fill
*pisi/dios,Pisidian
polumerh/s,consisting of many parts
polu/tropos,"various, manifold"
pre/sbus,old
prau+pa/qia,gentleness
propa/twr,forefather
prosai/ths,beggar
proskli/nomai,be attached to
pu/qwn,of divination
*pu/rros,Pyrrhus
*(raifa/n,Rephan
r(hto/s,specified
*sarw/n,Sharon
stasiasth/s,insurrectionist
stiba/s,branch
suggeni/s,female relative
sumpi/ptw,"fall together, meet violently"
su/mforos,"advantageous, beneficial"
sunalla/ssw,associate with
sunepiti/qemai,join in the attack
sunora/w,realize
su/ntomos,brief
sfodro/s,"great, exceeding"
tabe/rnh,tavern
tapeino/frwn,humble
thlaugh/s,"clear, plain"
*ti/tios,Titius
tolmhro/s,bold
tomo/s,sharp
trh=ma,eye of a needle
tri/stegon,third floor
tupiko/s,example
u(perekperissou=,superabundantly
u(perli/an,beyond measure
u(perora/w,overlook
u(po/leimma,remnant
fila/nqrwpos,considerate
xerou/b,cherub
w)ta/rion,ear
*)=w,O
