lemma,second_position
kai/,n
ga/r,y
w(s,n
de/,y
o(/te,n
ou)=n,y
o(/ti,n
a)lla/,n
ei),n
e)a/n,n
i(/na,n
plh/n,n
ou)/te,n
h)/,n
o(/tan,n
ou)de/,n
e(/ws,n
mh/te,n
a)/xri,n
w(/sper,n
o(sa/kis,n
o(/pou,n
te/,y
e)peidh/per,n
kaqw/s,n
kaqo/ti,n
dio/ti,n
e)pei/,n
dio/,n
a)/ra,?second_position
pri/n,n
o(/pws,n
mhde/,n
me/n,y
mh/pote,n
w(/ste,n
o(po/te,n
e)peidh/,n
e)pa/n,n
mh/,n
ka)kei=qen,n
ka)/n,n
pw=s,n
toi/nun,n
w(sei/,n
ei)/te,n
ei)/per,n
dio/per,n
kaqa/per,n
w(sperei/,n
ou(=,n
me/ntoi,y
toigarou=n,n
kai/toige,n
ka)kei=,n
h)/per,n
ou)kou=n,n
h)/toi,n
kaqo/,n
kai/per,n
a)=ra,n
kai/toi,n
o(/qen,n
me/xri(s),n
kaqa/,n
e)a/nper,n
kaqw/sper,n
h(ni/ka,n
ge/,y
a)/n,n
